,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.7426,0.6297,0.1077,-0.025,0.0799,0.2153,9480,10480,1000
1,JACCARD_COEFFICIENT,0.7426,0.7254,0.1077,0.0885,0.0799,0.0708,9480,10480,1000
2,ADAMIC_ADAR,0.7426,0.4916,0.1077,-0.002,0.0799,0.0451,9480,10480,1000
3,RESOURCE_ALLOCATION,0.7426,0.5614,0.1077,0.027,0.0799,0.041,9480,10480,1000
4,PREFERENTIAL_ATTACHMENT,0.7426,0.4858,0.1077,0.0023,0.0799,0.0712,9480,10480,1000
