,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.5043,0.4915,-0.1066,-0.1462,0.2876,0.2908,91356,92356,1000
1,JACCARD_COEFFICIENT,0.5043,0.5034,-0.1066,-0.1084,0.2876,0.2789,91356,92356,1000
2,ADAMIC_ADAR,0.5043,0.485,-0.1066,-0.1129,0.2876,0.3008,91356,92356,1000
3,RESOURCE_ALLOCATION,0.5043,0.4862,-0.1066,-0.1164,0.2876,0.2864,91356,92356,1000
4,PREFERENTIAL_ATTACHMENT,0.5043,0.4876,-0.1066,-0.1157,0.2876,0.2855,91356,92356,1000
