,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.8304,0.6856,0.2723,-0.0119,0.4063,0.3462,28291,29291,1000
1,JACCARD_COEFFICIENT,0.8304,0.7,0.2723,0.1835,0.4063,0.3632,28291,29291,1000
2,ADAMIC_ADAR,0.8304,0.5965,0.2723,0.2239,0.4063,0.316,28291,29291,1000
3,RESOURCE_ALLOCATION,0.8304,0.6004,0.2723,0.2356,0.4063,0.3315,28291,29291,1000
4,PREFERENTIAL_ATTACHMENT,0.8304,0.5305,0.2723,0.2339,0.4063,0.2344,28291,29291,1000
