,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.8481,0.8157,0.1731,0.1129,0.2599,0.3232,31802,32802,1000
1,JACCARD_COEFFICIENT,0.8481,0.8361,0.1731,0.1657,0.2599,0.2542,31802,32802,1000
2,ADAMIC_ADAR,0.8481,0.7697,0.1731,0.1532,0.2599,0.2109,31802,32802,1000
3,RESOURCE_ALLOCATION,0.8481,0.7922,0.1731,0.1671,0.2599,0.1953,31802,32802,1000
4,PREFERENTIAL_ATTACHMENT,0.8481,0.7984,0.1731,0.1575,0.2599,0.0536,31802,32802,1000
