,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.8584,0.8124,0.214,0.1831,0.472,0.4281,46529,47529,1000
1,JACCARD_COEFFICIENT,0.8584,0.8431,0.214,0.1771,0.472,0.4544,46529,47529,1000
2,ADAMIC_ADAR,0.8584,0.7821,0.214,0.1674,0.472,0.4526,46529,47529,1000
3,RESOURCE_ALLOCATION,0.8584,0.7977,0.214,0.1793,0.472,0.4414,46529,47529,1000
4,PREFERENTIAL_ATTACHMENT,0.8584,0.7915,0.214,0.1749,0.472,0.4112,46529,47529,1000
