,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.7399,0.5356,0.1545,0.033,0.3184,0.2615,7329,8329,1000
1,JACCARD_COEFFICIENT,0.7399,0.6421,0.1545,0.0999,0.3184,0.2713,7329,8329,1000
2,ADAMIC_ADAR,0.7399,0.4056,0.1545,0.0858,0.3184,0.2478,7329,8329,1000
3,RESOURCE_ALLOCATION,0.7399,0.4747,0.1545,0.1076,0.3184,0.2201,7329,8329,1000
4,PREFERENTIAL_ATTACHMENT,0.7399,0.4145,0.1545,0.0691,0.3184,0.1973,7329,8329,1000
