,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.8471,0.6673,0.2148,0.1155,0.1376,0.193,14160,15160,1000
1,JACCARD_COEFFICIENT,0.8471,0.8102,0.2148,0.1517,0.1376,0.0966,14160,15160,1000
2,ADAMIC_ADAR,0.8471,0.6599,0.2148,0.13,0.1376,0.0763,14160,15160,1000
3,RESOURCE_ALLOCATION,0.8471,0.6935,0.2148,0.1668,0.1376,0.058,14160,15160,1000
4,PREFERENTIAL_ATTACHMENT,0.8471,0.6837,0.2148,0.1324,0.1376,0.0803,14160,15160,1000
