,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.8347,0.5255,0.2066,-0.0449,0.3516,0.2586,6026,7026,1000
1,JACCARD_COEFFICIENT,0.8347,0.5267,0.2066,0.0618,0.3516,0.3036,6026,7026,1000
2,ADAMIC_ADAR,0.8347,0.3343,0.2066,0.0289,0.3516,0.2105,6026,7026,1000
3,RESOURCE_ALLOCATION,0.8347,0.4367,0.2066,0.1139,0.3516,0.2316,6026,7026,1000
4,PREFERENTIAL_ATTACHMENT,0.8347,0.2115,0.2066,0.0415,0.3516,0.1861,6026,7026,1000
