,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.6229,0.5169,0.1057,0.1419,0.1724,0.1648,20275,21275,1000
1,JACCARD_COEFFICIENT,0.6229,0.6259,0.1057,0.0984,0.1724,0.13,20275,21275,1000
2,ADAMIC_ADAR,0.6229,0.4551,0.1057,0.0829,0.1724,0.128,20275,21275,1000
3,RESOURCE_ALLOCATION,0.6229,0.4887,0.1057,0.0943,0.1724,0.0996,20275,21275,1000
4,PREFERENTIAL_ATTACHMENT,0.6229,0.4979,0.1057,0.0713,0.1724,0.077,20275,21275,1000
