Metric,Covid,gunsense_followers_network_part_largest_CC,netanyahu_followers_network_part_largest_CC,russia_march_followers_network_part_largest_CC
coverage,0.9645354676130448,0.9927003081664099,0.9765528242959453,0.9621152328334649
modularity,0.34458045814949184,0.3602048277945091,0.20327964779752583,0.44675408609810646
