,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8484,0.8158,0.1731,0.1129,0.2116,0.3171,31802,32802,1000,0.0001
1,EFFECTIVE_SIZE,0.8484,0.8105,0.1731,0.0964,0.2116,0.3055,31802,32802,1000,0.0001
2,JACCARD_COEFFICIENT,0.8484,0.8381,0.1731,0.1676,0.2116,0.101,31802,32802,1000,0.0001
3,ADAMIC_ADAR,0.8484,0.7689,0.1731,0.1532,0.2116,0.1749,31802,32802,1000,0.0001
4,RESOURCE_ALLOCATION,0.8484,0.7927,0.1731,0.167,0.2116,0.1894,31802,32802,1000,0.0001
5,PREFERENTIAL_ATTACHMENT,0.8484,0.7985,0.1731,0.1575,0.2116,0.2282,31802,32802,1000,0.0001
