,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.6375,0.6314,-0.1291,-0.1371,0.1409,0.1982,344088,345088,1000,0.0
1,EFFECTIVE_SIZE,0.6375,0.6327,-0.1291,-0.1365,0.1409,0.1485,344088,345088,1000,0.0
2,JACCARD_COEFFICIENT,0.6375,0.6376,-0.1291,-0.1293,0.1409,0.1274,344088,345088,1000,0.0
3,ADAMIC_ADAR,0.6375,0.6343,-0.1291,-0.1304,0.1409,0.1252,344088,345088,1000,0.0
4,RESOURCE_ALLOCATION,0.6375,0.6344,-0.1291,-0.1303,0.1409,0.1361,344088,345088,1000,0.0
5,PREFERENTIAL_ATTACHMENT,0.6375,0.633,-0.1291,-0.133,0.1409,0.1226,344088,345088,1000,0.0
