,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8836,0.8619,0.2178,0.1191,0.3396,0.3122,84035,85035,1000,0.0002
1,EFFECTIVE_SIZE,0.8836,0.8609,0.2178,0.118,0.3396,0.2994,84035,85035,1000,0.0002
2,JACCARD_COEFFICIENT,0.8836,0.8803,0.2178,0.1949,0.3396,0.3161,84035,85035,1000,0.0002
3,ADAMIC_ADAR,0.8836,0.8512,0.2178,0.1913,0.3396,0.3078,84035,85035,1000,0.0002
4,RESOURCE_ALLOCATION,0.8836,0.8549,0.2178,0.2069,0.3396,0.3066,84035,85035,1000,0.0002
5,PREFERENTIAL_ATTACHMENT,0.8836,0.8498,0.2178,0.1938,0.3396,0.2979,84035,85035,1000,0.0002
