,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.7416,0.6249,0.1077,-0.025,0.0996,0.2131,9480,10480,1000,0.0008
1,EFFECTIVE_SIZE,0.7416,0.6133,0.1077,0.0,0.0996,0.259,9480,10480,1000,0.0008
2,JACCARD_COEFFICIENT,0.7416,0.7287,0.1077,0.0897,0.0996,0.0595,9480,10480,1000,0.0008
3,ADAMIC_ADAR,0.7416,0.4856,0.1077,-0.0022,0.0996,0.0444,9480,10480,1000,0.0008
4,RESOURCE_ALLOCATION,0.7416,0.5559,0.1077,0.0306,0.0996,0.0645,9480,10480,1000,0.0008
5,PREFERENTIAL_ATTACHMENT,0.7416,0.4897,0.1077,0.0024,0.0996,0.0433,9480,10480,1000,0.0008
