,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added
0,BETWEENNESS,0.9405,0.8989,0.2,0.1484,0.1789,0.1911,63672,64672,1000
1,JACCARD_COEFFICIENT,0.9405,0.9395,0.2,0.1751,0.1789,0.2092,63672,64672,1000
2,ADAMIC_ADAR,0.9405,0.8798,0.2,0.1942,0.1789,0.1851,63672,64672,1000
3,RESOURCE_ALLOCATION,0.9405,0.9108,0.2,0.2001,0.1789,0.2131,63672,64672,1000
4,PREFERENTIAL_ATTACHMENT,0.9405,0.8987,0.2,0.1902,0.1789,0.1527,63672,64672,1000
