,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8292,0.6839,0.2723,-0.0119,0.4288,0.3399,28291,29291,1000,0.001
1,EFFECTIVE_SIZE,0.8292,0.7093,0.2723,0.0,0.4288,0.418,28291,29291,1000,0.001
2,JACCARD_COEFFICIENT,0.8292,0.7025,0.2723,0.1834,0.4288,0.3921,28291,29291,1000,0.001
3,ADAMIC_ADAR,0.8292,0.5997,0.2723,0.2239,0.4288,0.3582,28291,29291,1000,0.001
4,RESOURCE_ALLOCATION,0.8292,0.5958,0.2723,0.2356,0.4288,0.3317,28291,29291,1000,0.001
5,PREFERENTIAL_ATTACHMENT,0.8292,0.5297,0.2723,0.2339,0.4288,0.308,28291,29291,1000,0.001
