,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8566,0.8147,0.214,0.1831,0.4827,0.4277,46529,47529,1000,0.0004
1,EFFECTIVE_SIZE,0.8566,0.8191,0.214,0.0,0.4827,0.4457,46529,47529,1000,0.0004
2,JACCARD_COEFFICIENT,0.8566,0.8416,0.214,0.1775,0.4827,0.4466,46529,47529,1000,0.0004
3,ADAMIC_ADAR,0.8566,0.7818,0.214,0.1674,0.4827,0.4568,46529,47529,1000,0.0004
4,RESOURCE_ALLOCATION,0.8566,0.797,0.214,0.1793,0.4827,0.442,46529,47529,1000,0.0004
5,PREFERENTIAL_ATTACHMENT,0.8566,0.791,0.214,0.1749,0.4827,0.4272,46529,47529,1000,0.0004
