,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8339,0.7945,0.1339,0.1179,0.1652,0.1691,42833,43833,1000,0.0001
1,EFFECTIVE_SIZE,0.8339,0.781,0.1339,0.1354,0.1652,0.114,42833,43833,1000,0.0001
2,JACCARD_COEFFICIENT,0.8339,0.8317,0.1339,0.1136,0.1652,0.1924,42833,43833,1000,0.0001
3,ADAMIC_ADAR,0.8339,0.7506,0.1339,0.1163,0.1652,0.2044,42833,43833,1000,0.0001
4,RESOURCE_ALLOCATION,0.8339,0.7781,0.1339,0.1176,0.1652,0.201,42833,43833,1000,0.0001
5,PREFERENTIAL_ATTACHMENT,0.8339,0.7837,0.1339,0.1345,0.1652,0.1285,42833,43833,1000,0.0001
