,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.6232,0.5169,0.1057,0.1419,0.1053,0.174,20275,21275,1000,0.0002
1,EFFECTIVE_SIZE,0.6232,0.5641,0.1057,0.0,0.1053,0.2505,20275,21275,1000,0.0002
2,JACCARD_COEFFICIENT,0.6232,0.6348,0.1057,0.0977,0.1053,0.1261,20275,21275,1000,0.0002
3,ADAMIC_ADAR,0.6232,0.4611,0.1057,0.0829,0.1053,0.1017,20275,21275,1000,0.0002
4,RESOURCE_ALLOCATION,0.6232,0.4921,0.1057,0.0942,0.1053,0.1609,20275,21275,1000,0.0002
5,PREFERENTIAL_ATTACHMENT,0.6232,0.4971,0.1057,0.0713,0.1053,0.0836,20275,21275,1000,0.0002
