,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.7372,0.5337,0.1545,0.033,0.3219,0.2615,7329,8329,1000,0.0005
1,EFFECTIVE_SIZE,0.7372,0.5633,0.1545,0.0331,0.3219,0.3389,7329,8329,1000,0.0005
2,JACCARD_COEFFICIENT,0.7372,0.6441,0.1545,0.101,0.3219,0.2894,7329,8329,1000,0.0005
3,ADAMIC_ADAR,0.7372,0.4037,0.1545,0.0858,0.3219,0.2386,7329,8329,1000,0.0005
4,RESOURCE_ALLOCATION,0.7372,0.4757,0.1545,0.1076,0.3219,0.2304,7329,8329,1000,0.0005
5,PREFERENTIAL_ATTACHMENT,0.7372,0.4167,0.1545,0.0691,0.3219,0.138,7329,8329,1000,0.0005
