,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.9515,0.9045,0.4279,0.3019,0.7198,0.6636,103840,104840,1000,0.0006
1,EFFECTIVE_SIZE,0.9515,0.9027,0.4279,0.167,0.7198,0.6493,103840,104840,1000,0.0006
2,JACCARD_COEFFICIENT,0.9515,0.9258,0.4279,0.3617,0.7198,0.6972,103840,104840,1000,0.0006
3,ADAMIC_ADAR,0.9515,0.9024,0.4279,0.366,0.7198,0.6844,103840,104840,1000,0.0006
4,RESOURCE_ALLOCATION,0.9515,0.8974,0.4279,0.3814,0.7198,0.6628,103840,104840,1000,0.0006
5,PREFERENTIAL_ATTACHMENT,0.9515,0.8967,0.4279,0.4074,0.7198,0.6455,103840,104840,1000,0.0006
