,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8479,0.6666,0.2148,0.1155,0.0828,0.321,14160,15160,1000,0.0004
1,EFFECTIVE_SIZE,0.8479,0.6918,0.2148,0.1224,0.0828,0.225,14160,15160,1000,0.0004
2,JACCARD_COEFFICIENT,0.8479,0.8012,0.2148,0.1513,0.0828,0.0655,14160,15160,1000,0.0004
3,ADAMIC_ADAR,0.8479,0.659,0.2148,0.13,0.0828,0.0666,14160,15160,1000,0.0004
4,RESOURCE_ALLOCATION,0.8479,0.6924,0.2148,0.1668,0.0828,0.0731,14160,15160,1000,0.0004
5,PREFERENTIAL_ATTACHMENT,0.8479,0.6818,0.2148,0.1324,0.0828,0.067,14160,15160,1000,0.0004
