,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8552,0.7231,0.2817,0.089,0.5308,0.4552,16471,17471,1000,0.0014
1,EFFECTIVE_SIZE,0.8552,0.7001,0.2817,0.0,0.5308,0.4708,16471,17471,1000,0.0014
2,JACCARD_COEFFICIENT,0.8552,0.8087,0.2817,0.19,0.5308,0.492,16471,17471,1000,0.0014
3,ADAMIC_ADAR,0.8552,0.6707,0.2817,0.1765,0.5308,0.4697,16471,17471,1000,0.0014
4,RESOURCE_ALLOCATION,0.8552,0.7043,0.2817,0.1923,0.5308,0.4619,16471,17471,1000,0.0014
5,PREFERENTIAL_ATTACHMENT,0.8552,0.6338,0.2817,0.1938,0.5308,0.4156,16471,17471,1000,0.0014
