,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,,,0.4279,0.2104,,,103840,104359,519,0.005
1,EFFECTIVE_SIZE,,,0.4279,0.3714,,,103840,104359,519,0.005
2,JACCARD_COEFFICIENT,,,0.4279,0.3833,,,103840,104359,519,0.005
3,ADAMIC_ADAR,,,0.4279,0.3992,,,103840,104359,519,0.005
4,RESOURCE_ALLOCATION,,,0.4279,0.4049,,,103840,104359,519,0.005
5,PREFERENTIAL_ATTACHMENT,,,0.4279,0.4177,,,103840,104359,519,0.005
