,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8341,0.5298,0.2066,-0.0449,0.3482,0.2729,6026,7026,1000,0.0032
1,EFFECTIVE_SIZE,0.8341,0.6059,0.2066,0.0,0.3482,0.3679,6026,7026,1000,0.0032
2,JACCARD_COEFFICIENT,0.8341,0.5192,0.2066,0.0613,0.3482,0.281,6026,7026,1000,0.0032
3,ADAMIC_ADAR,0.8341,0.3404,0.2066,0.0271,0.3482,0.2318,6026,7026,1000,0.0032
4,RESOURCE_ALLOCATION,0.8341,0.4188,0.2066,0.1149,0.3482,0.2209,6026,7026,1000,0.0032
5,PREFERENTIAL_ATTACHMENT,0.8341,0.2031,0.2066,0.0415,0.3482,0.2104,6026,7026,1000,0.0032
