,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.5735,0.4487,0.1629,-0.1054,0.276,0.2129,24328,25328,1000,0.0024
1,EFFECTIVE_SIZE,0.5735,0.4366,0.1629,0.0,0.276,0.3767,24328,25328,1000,0.0024
2,JACCARD_COEFFICIENT,0.5735,0.3871,0.1629,0.087,0.276,0.2108,24328,25328,1000,0.0024
3,ADAMIC_ADAR,0.5735,0.3835,0.1629,-0.0379,0.276,0.1996,24328,25328,1000,0.0024
4,RESOURCE_ALLOCATION,0.5735,0.3201,0.1629,0.017,0.276,0.1915,24328,25328,1000,0.0024
5,PREFERENTIAL_ATTACHMENT,0.5735,0.3843,0.1629,-0.0627,0.276,0.2679,24328,25328,1000,0.0024
