,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,,,0.2874,-0.5,,,297136,317492,20356,0.005
1,EFFECTIVE_SIZE,,,0.2874,0.0,,,297136,317248,20112,0.005
2,JACCARD_COEFFICIENT,,,0.2874,0.2458,,,297136,317492,20356,0.005
3,ADAMIC_ADAR,,,0.2874,-0.0092,,,297136,317492,20356,0.005
4,RESOURCE_ALLOCATION,,,0.2874,0.1146,,,297136,317492,20356,0.005
5,PREFERENTIAL_ATTACHMENT,,,0.2874,0.1504,,,297136,317492,20356,0.005
