,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8282,0.6816,0.2723,-0.0119,0.4403,0.3435,28291,29291,1000,0.001
1,EFFECTIVE_SIZE,0.8282,0.7147,0.2723,0.0,0.4403,0.4212,28291,29291,1000,0.001
2,BETWEENNESS + JACCARD_COEFFICIENT,0.8282,0.6755,0.2723,0.0827,0.4403,0.3293,28291,29291,1000,0.001
3,BETWEENNESS + ADAMIC_ADAR,0.8282,0.6377,0.2723,0.0981,0.4403,0.3144,28291,29291,1000,0.001
4,BETWEENNESS + RESOURCE_ALLOCATION,0.8282,0.5933,0.2723,0.1853,0.4403,0.3213,28291,29291,1000,0.001
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.8282,0.6181,0.2723,0.0298,0.4403,0.2879,28291,29291,1000,0.001
