,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.9409,0.8973,0.2,0.1484,0.2558,0.1693,63672,64672,1000,0.0001
1,EFFECTIVE_SIZE,0.9409,0.8938,0.2,0.1893,0.2558,0.1814,63672,64672,1000,0.0001
2,BETWEENNESS + JACCARD_COEFFICIENT,0.9409,0.8769,0.2,0.153,0.2558,0.2018,63672,64672,1000,0.0001
3,BETWEENNESS + ADAMIC_ADAR,0.9409,0.8829,0.2,0.1686,0.2558,0.2049,63672,64672,1000,0.0001
4,BETWEENNESS + RESOURCE_ALLOCATION,0.9409,0.8904,0.2,0.1751,0.2558,0.2185,63672,64672,1000,0.0001
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.9409,0.8937,0.2,0.1955,0.2558,0.1336,63672,64672,1000,0.0001
