,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.836,0.5299,0.2066,-0.0449,0.3524,0.2688,6026,7026,1000,0.0032
1,EFFECTIVE_SIZE,0.836,0.6072,0.2066,0.0,0.3524,0.3616,6026,7026,1000,0.0032
2,BETWEENNESS + JACCARD_COEFFICIENT,0.836,0.4512,0.2066,-0.0687,0.3524,0.2159,6026,7026,1000,0.0032
3,BETWEENNESS + ADAMIC_ADAR,0.836,0.3839,0.2066,-0.0407,0.3524,0.2097,6026,7026,1000,0.0032
4,BETWEENNESS + RESOURCE_ALLOCATION,0.836,0.3879,0.2066,-0.0026,0.3524,0.1819,6026,7026,1000,0.0032
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.836,0.303,0.2066,-0.0897,0.3524,0.1781,6026,7026,1000,0.0032
