,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.844,0.6683,0.2148,0.1155,0.1174,0.28,14160,15160,1000,0.0004
1,EFFECTIVE_SIZE,0.844,0.6956,0.2148,0.1293,0.1174,0.102,14160,15160,1000,0.0004
2,BETWEENNESS + JACCARD_COEFFICIENT,0.844,0.6786,0.2148,0.1123,0.1174,0.0732,14160,15160,1000,0.0004
3,BETWEENNESS + ADAMIC_ADAR,0.844,0.6706,0.2148,0.1174,0.1174,0.0651,14160,15160,1000,0.0004
4,BETWEENNESS + RESOURCE_ALLOCATION,0.844,0.6721,0.2148,0.1451,0.1174,0.0795,14160,15160,1000,0.0004
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.844,0.6783,0.2148,0.1199,0.1174,0.1154,14160,15160,1000,0.0004
