,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8545,0.7252,0.2817,0.089,0.5304,0.4616,16471,17471,1000,0.0014
1,EFFECTIVE_SIZE,0.8545,0.7002,0.2817,0.0,0.5304,0.4693,16471,17471,1000,0.0014
2,BETWEENNESS + JACCARD_COEFFICIENT,0.8545,0.6862,0.2817,0.1414,0.5304,0.4582,16471,17471,1000,0.0014
3,BETWEENNESS + ADAMIC_ADAR,0.8545,0.6812,0.2817,0.1386,0.5304,0.4424,16471,17471,1000,0.0014
4,BETWEENNESS + RESOURCE_ALLOCATION,0.8545,0.682,0.2817,0.1589,0.5304,0.4427,16471,17471,1000,0.0014
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.8545,0.6717,0.2817,0.1364,0.5304,0.4219,16471,17471,1000,0.0014
