,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.4871,0.3671,0.0661,0.043,0.1806,0.1349,16070,17070,1000,0.0005
1,EFFECTIVE_SIZE,0.4871,0.4185,0.0661,0.0,0.1806,0.2332,16070,17070,1000,0.0005
2,BETWEENNESS + JACCARD_COEFFICIENT,0.4871,0.3484,0.0661,0.0131,0.1806,0.1439,16070,17070,1000,0.0005
3,BETWEENNESS + ADAMIC_ADAR,0.4871,0.338,0.0661,0.0318,0.1806,0.1165,16070,17070,1000,0.0005
4,BETWEENNESS + RESOURCE_ALLOCATION,0.4871,0.3131,0.0661,0.0705,0.1806,0.1817,16070,17070,1000,0.0005
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.4871,0.3149,0.0661,0.0451,0.1806,0.0626,16070,17070,1000,0.0005
