,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.7395,0.5371,0.1545,0.033,0.3279,0.269,7329,8329,1000,0.0005
1,EFFECTIVE_SIZE,0.7395,0.5624,0.1545,0.0316,0.3279,0.3287,7329,8329,1000,0.0005
2,BETWEENNESS + JACCARD_COEFFICIENT,0.7395,0.4475,0.1545,0.0872,0.3279,0.2561,7329,8329,1000,0.0005
3,BETWEENNESS + ADAMIC_ADAR,0.7395,0.4486,0.1545,0.0836,0.3279,0.2229,7329,8329,1000,0.0005
4,BETWEENNESS + RESOURCE_ALLOCATION,0.7395,0.4326,0.1545,0.0887,0.3279,0.2064,7329,8329,1000,0.0005
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.7395,0.4671,0.1545,0.0434,0.3279,0.2328,7329,8329,1000,0.0005
