,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.901,0.8908,0.2874,0.2634,0.5249,0.5262,297136,298136,1000,0.0001
1,EFFECTIVE_SIZE,0.901,0.8894,0.2874,0.2089,0.5249,0.5063,297136,298136,1000,0.0001
2,BETWEENNESS + JACCARD_COEFFICIENT,0.901,0.891,0.2874,0.2774,0.5249,0.5195,297136,298136,1000,0.0001
3,BETWEENNESS + ADAMIC_ADAR,0.901,0.8881,0.2874,0.2799,0.5249,0.5277,297136,298136,1000,0.0001
4,BETWEENNESS + RESOURCE_ALLOCATION,0.901,0.8893,0.2874,0.282,0.5249,0.5173,297136,298136,1000,0.0001
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.901,0.8884,0.2874,0.2704,0.5249,0.5221,297136,298136,1000,0.0001
