,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.8486,0.8167,0.1731,0.1129,0.2388,0.3158,31802,32802,1000,0.0001
1,EFFECTIVE_SIZE,0.8486,0.8114,0.1731,0.0984,0.2388,0.2881,31802,32802,1000,0.0001
2,BETWEENNESS + JACCARD_COEFFICIENT,0.8486,0.7848,0.1731,0.1367,0.2388,0.1903,31802,32802,1000,0.0001
3,BETWEENNESS + ADAMIC_ADAR,0.8486,0.7959,0.1731,0.1476,0.2388,0.2586,31802,32802,1000,0.0001
4,BETWEENNESS + RESOURCE_ALLOCATION,0.8486,0.794,0.1731,0.1504,0.2388,0.0905,31802,32802,1000,0.0001
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.8486,0.7982,0.1731,0.1362,0.2388,0.1663,31802,32802,1000,0.0001
