,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.6368,0.6311,-0.1291,-0.1371,0.1722,0.1672,344088,345088,1000,0.0
1,EFFECTIVE_SIZE,0.6368,0.6336,-0.1291,-0.1365,0.1722,0.125,344088,345088,1000,0.0
2,BETWEENNESS + JACCARD_COEFFICIENT,0.6368,0.6306,-0.1291,-0.1314,0.1722,0.1388,344088,345088,1000,0.0
3,BETWEENNESS + ADAMIC_ADAR,0.6368,0.633,-0.1291,-0.1314,0.1722,0.1313,344088,345088,1000,0.0
4,BETWEENNESS + RESOURCE_ALLOCATION,0.6368,0.6349,-0.1291,-0.1312,0.1722,0.1785,344088,345088,1000,0.0
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.6368,0.6317,-0.1291,-0.1347,0.1722,0.1276,344088,345088,1000,0.0
