,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.5061,0.4906,-0.1066,-0.1462,0.2922,0.2886,91356,92356,1000,0.0001
1,EFFECTIVE_SIZE,0.5061,0.4922,-0.1066,-0.0435,0.2922,0.2943,91356,92356,1000,0.0001
2,BETWEENNESS + JACCARD_COEFFICIENT,0.5061,0.4831,-0.1066,-0.1197,0.2922,0.2891,91356,92356,1000,0.0001
3,BETWEENNESS + ADAMIC_ADAR,0.5061,0.4866,-0.1066,-0.1235,0.2922,0.2893,91356,92356,1000,0.0001
4,BETWEENNESS + RESOURCE_ALLOCATION,0.5061,0.4904,-0.1066,-0.1301,0.2922,0.2853,91356,92356,1000,0.0001
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.5061,0.4888,-0.1066,-0.1193,0.2922,0.2998,91356,92356,1000,0.0001
