,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.6218,0.5179,0.1057,0.1419,0.1516,0.1847,20275,21275,1000,0.0002
1,EFFECTIVE_SIZE,0.6218,0.5605,0.1057,0.0,0.1516,0.2288,20275,21275,1000,0.0002
2,BETWEENNESS + JACCARD_COEFFICIENT,0.6218,0.4948,0.1057,0.0538,0.1516,0.1072,20275,21275,1000,0.0002
3,BETWEENNESS + ADAMIC_ADAR,0.6218,0.4961,0.1057,0.093,0.1516,0.1343,20275,21275,1000,0.0002
4,BETWEENNESS + RESOURCE_ALLOCATION,0.6218,0.4888,0.1057,0.0977,0.1516,0.146,20275,21275,1000,0.0002
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.6218,0.5176,0.1057,0.1038,0.1516,0.1321,20275,21275,1000,0.0002
