,Algorithm,RWC_pre,RWC_post,GMCK_pre,GMCK_post,ForceAtlas_pre,ForceAtlas_post,Original_edges,New_edges,Number_edges_added,Percentage_edges_added
0,BETWEENNESS,0.7425,0.6289,0.1077,-0.025,0.0724,0.1419,9480,10480,1000,0.0008
1,EFFECTIVE_SIZE,0.7425,0.6118,0.1077,0.0,0.0724,0.2513,9480,10480,1000,0.0008
2,BETWEENNESS + JACCARD_COEFFICIENT,0.7425,0.5663,0.1077,-0.0103,0.0724,0.0476,9480,10480,1000,0.0008
3,BETWEENNESS + ADAMIC_ADAR,0.7425,0.5549,0.1077,-0.013,0.0724,0.0513,9480,10480,1000,0.0008
4,BETWEENNESS + RESOURCE_ALLOCATION,0.7425,0.5732,0.1077,0.0162,0.0724,0.0517,9480,10480,1000,0.0008
5,BETWEENNESS + PREFERENTIAL_ATTACHMENT,0.7425,0.541,0.1077,-0.0494,0.0724,0.0335,9480,10480,1000,0.0008
